song_mbid,artist_mbid,playcount,listeners
01f53e90-e180-49f2-a2b3-8ff97a6e8e3b,20395131-fbde-43ce-b141-b700cfdae99c,6110136,651506
01f6a3a6-6aac-4d28-9706-cde1b793f4b5,f4abc0b5-3f7a-4eff-8f78-ac078dbce533,11267544,870166
01f900ac-84e1-357a-937e-71755d8a7a2d,44cf61b8-5197-448a-b82b-cef6ee89fac5,15685215,1231950
01fc3cb9-8c80-4c51-a483-08b4638b667e,b4691384-50c3-4afd-9988-51d3ec5db65d,4825841,451664
01fc7923-6da3-4354-a4c9-ec7e41e568cb,f4a31f0a-51dd-4fa7-986d-3095c40c5ed9,5806217,650980
0201bd5c-4222-3362-a9db-018fd33d67ff,47685be0-926f-4be9-b1ae-e32da47a3b99,4180488,428225
02062f13-048f-499f-9a14-b2004db2aaf0,c20ee61f-071f-4e65-9c81-45ee931a54ce,3050712,320149
02076df3-6638-4d91-9089-ea69e3af0ad7,0d79fe8e-ba27-4859-bb8c-2f255f346853,12307735,528113
0208ca5f-e068-4fd9-9078-8d7e1f4541b3,5b6ebfe0-f72b-4902-bba9-74c8af0f1af0,5541704,509110
0208d6e1-798a-32da-b13a-242164df006f,b9472588-93f3-4922-a1a2-74082cdf9ce8,20135645,2052623
0209753d-fba9-49ab-97db-b924983b8267,aef06569-098f-4218-a577-b413944d9493,1992883,197726
020ec4b3-2c6a-4257-a671-689421b198b0,9fff2f8a-21e6-47de-a2b8-7f449929d43f,13341053,1157495
02136d79-89e4-32ab-833d-bb76c569361f,f4a31f0a-51dd-4fa7-986d-3095c40c5ed9,3792466,494780
02170e4d-e45c-3615-ba36-6522cecc1aef,183d6ef6-e161-47ff-9085-063c8b897e97,3272327,450974
0219893f-c107-3b6b-acdd-e2af3302ac10,381086ea-f511-4aba-bdf9-71c753dc5077,31640395,1950755
0219e7c1-7814-4b66-9e70-31bdd87b581f,f4abc0b5-3f7a-4eff-8f78-ac078dbce533,11985571,1040273
021cac3a-2abb-362a-8bc3-177201f1b766,ac865b2e-bba8-4f5a-8756-dd40d5e39f46,9312609,1008123
021f96e2-29b2-4ac8-85e4-a20062cab987,ebe26895-c0d1-41c3-8bcc-a49d62c497a1,1475593,120745
022baa87-64de-324f-9a92-4dfa46402d85,fabb37f8-eb2a-4cc1-a72a-b56935bbb72d,7603943,894801
022bd24c-fa61-4775-a5af-89f9badebf48,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,17227317,1476990
02326bc0-cc67-48ae-b9f4-1ee03bc5c233,0e4188c7-0b21-4ee3-ad0f-a2312b65e6db,3678942,461035
023575fc-b49b-455f-ad8b-e82ad84c6391,34557d8f-ee4a-44ab-ae6e-49bb8ac604d0,3438919,360241
023632c1-3fcb-4d38-8061-4f6df768e120,3547f34a-db02-4ab7-b4a0-380e1ef951a9,2650881,245335
0238079c-2f1e-4537-ae0e-3947fc2de5bc,260b6184-8828-48eb-945c-bc4cb6fc34ca,6047526,487005
023dcf4c-6a94-35d0-b700-650c2e9e2d42,a466c2a2-6517-42fb-a160-1087c3bafd9f,21666175,1645139
0244aeee-a350-40a7-a904-c5ca8e76bdd5,b1e26560-60e5-4236-bbdb-9aa5a8d5ee19,7288776,702298
024643fc-6010-44a6-a55a-fa8a9b1342cc,36086094-c2a4-49b9-8572-0fbf12fc3409,5760456,657684
024a81f2-a8cc-4e23-acf2-374b2192f391,95f5b748-d370-47fe-85bd-0af2dc450bc0,3669682,521068
024c0350-1544-4a37-8dff-6042111cc6ee,f23ef341-33bd-47c1-b83c-846a78581f05,4914525,332175
024d4da9-394c-4e24-a9bc-21d74ffa14cb,d8fd8d9b-473b-4f06-83c8-869b1bb9de89,6313052,411189
02553a76-c591-394f-9306-611ab0818f04,03ad1736-b7c9-412a-b442-82536d63a5c4,4141794,539940
