name,hash,x,y,z
christian alternative rock,f4dd3f04,-119.6572,-117.1086,4.9164
mandopop,fd22ebf7,-28.4347,-14.3914,17.6654
lounge,f6efb94c,2.2737,242.3645,10.7849
worship,90cc1846,-173.5087,-36.7879,14.2525
dfw rap,b81e7827,166.5425,-120.5384,-3.8183
electronica,4dc773db,51.8505,-145.6173,-6.7965
pixel,03dc8cb2,66.6742,-89.8704,-13.6466
trap italiana,870e4169,111.0569,-94.2081,-8.517
pop reggaeton,edcbc03f,189.4858,-151.2017,0.9699
new orleans rap,16c3a7e8,149.6002,-70.4766,12.8123
otacore,0ec45713,-34.0552,-87.6217,-11.2924
rock-and-roll,4d7c6b58,14.3262,124.7356,1.0742
funk,30ec1e5e,89.7258,-15.2739,-26.0608
quiet storm,5f299595,50.5834,9.2097,21.8437
motown,db76a0f4,28.3875,52.563,6.3673
japanese teen pop,c55cf645,-7.8577,-119.2527,10.3129
brazilian hip hop,e6d46c91,153.2079,20.2674,-0.0527
gruperas inmortales,6242bc1f,114.0107,49.0302,0.9671
kleine hoerspiel,adb83047,248.4636,165.7559,-84.3568
indie poptimism,dc81f840,-37.1826,-117.6446,21.8337
dream pop,cf281cdb,-129.9499,0.731,-10.286
rap conscient,28fed88a,144.4042,3.6191,-5.363
neo-synthpop,cb7aa9f4,6.0348,-179.8637,-3.7418
funk rock,30f830b6,38.4312,-59.666,14.5108
easy listening,f5788011,-71.4581,231.1717,-13.3503
bolero,e0e454db,71.7824,166.6759,-13.6842
g funk,2db602eb,238.1817,-133.5489,-1.6905
barbadian pop,3255b7b3,102.4372,-171.5401,27.5698
progressive rock,f6324cad,-136.814,52.0648,-14.0429
eurodance,30e382c6,86.5046,-224.1812,15.8635
hardcore hip hop,02489997,171.5922,-4.0628,14.1727
bachata,38fa6906,219.4423,-57.238,-9.0202
australian dance,4a2094b6,44.7601,-181.8825,-20.1519
neon pop punk,6001cfbe,-113.7867,-178.2913,1.0488
emo,3a331b7d,-127.5285,-81.6595,3.0059
trap boricua,c9978558,176.4823,-60.8976,2.6022
brazilian rock,2dcc5ee9,-44.2287,-59.466,4.3536
funk paulista,3e925576,263.4118,-4.4523,-21.591
pop venezolano,badaf14e,149.3924,-95.4767,-1.5628
cantautor,a0bfe630,28.7675,66.6054,-7.1824
chanson,72af4739,24.5099,143.6238,-21.7032
drift phonk,0a596c60,99.8488,-186.0853,7.2195
florida rap,cd93638c,186.1139,-94.7983,15.2413
bedroom r&b,965f435c,49.0527,-78.5056,-20.8146
latin christian,23e64dbb,-44.5704,-49.2923,10.278
movie tunes,0e87a48e,-15.03,151.1705,-14.5991
indonesian pop rock,e58f9413,-58.3534,-92.0861,-17.4024
russian hip hop,fbc302c9,123.8824,-51.0418,-6.9573
spanish hip hop,701d64f3,138.0669,51.4662,13.8735
cali rap,ded9d020,173.0008,-70.6145,4.6866
dancehall,e8de1377,193.6123,-3.7841,-5.7894
brooklyn drill,6edd42c2,187.9292,-61.5497,0.0497
trap queen,ae51921c,207.3541,-154.4299,13.0672
urbano chileno,70d2606d,197.3103,-124.1577,-4.6111
color noise,58fa8a29,-300.9129,180.4408,65.2335
children's music,e1764da2,157.9931,51.7297,-3.8987
world worship,bfb9b707,-160.2133,-15.5204,10.4238
urbano mexicano,59b3ed95,160.668,-110.2873,2.2152
sheffield indie,90ec498e,-125.7662,-8.2021,-13.5551
classic texas country,cbc1e9f0,2.1308,58.192,10.9557
escape room,6fd335c0,89.3244,-103.4349,-1.3788
modern indie pop,48ada99d,43.0855,-47.4121,11.4666
funk rj,5c70b064,293.9858,-95.407,1.1936
plugg,6602b705,92.869,-103.0925,10.516
anime rock,acd8b04b,-82.8193,-214.2073,-8.2109
merseybeat,83f1fcbb,-4.9563,118.4555,8.1205
reggae fusion,11196cd1,175.5494,-12.0253,7.5006
shoegaze,7a760281,-173.6051,-14.8568,17.7696
tamil hip hop,0c614248,73.4985,-102.2493,8.0847
britpop,8eea827a,-124.8133,-86.9814,-14.7872
australian rock,bc880973,-56.4092,-13.6651,12.807
industrial metal,5bb3e2b6,-95.8645,-203.6613,-6.3092
baroque pop,85e2ce24,-47.9248,59.172,20.6659
brooklyn indie,47a2aa21,-99.4023,-28.8118,3.282
pop argentino,e81f1077,64.5352,-97.0581,4.0099
r&b en espanol,2eaba365,147.6181,-119.9847,-8.356
trance,7f1345c2,8.036,-203.0514,21.2466
turkish trap,98889633,147.9634,-130.5873,17.3235
thai pop,92aa1844,9.7718,-69.7226,-8.5991
lilith,5c112f77,-47.1211,31.6426,22.9942
indian instrumental,7db462af,38.6291,71.4185,1.4648
downtempo,f924b962,36.9536,-131.4952,1.1331
southern rock,b1b95ab0,-37.6758,47.9664,-2.0594
sophisti-pop,c1705544,12.966,-92.7352,1.3717
punjabi hip hop,48ff87d5,168.4484,-69.4004,3.2589
polish trap,8735c119,137.8482,-94.122,6.1546
socal pop punk,6f19bf23,-109.6726,-122.564,-1.432
candy pop,62414bcc,-76.1095,-148.96,-7.4143
tamil pop,f8c10d23,75.6337,-21.9079,10.6241
rockabilly,5b9265ef,31.7945,129.9567,5.9197
girl group,cded91c0,83.6643,-179.6009,-10.2425
uk contemporary r&b,4b408ee0,86.5239,3.3443,11.0699
atl trap,57a023f2,204.4103,-132.1322,-5.6331
old school thrash,322e3992,-185.4937,-5.3117,-13.5907
